v8-version,6,2,414,54,0
shared-library,"/usr/local/bin/node",0x100001800,0x100ba3aaa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff3629d860,0x7fff364909ac,242761728
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff5c35f94a,0x7fff5c35fb2e,242761728
shared-library,"/usr/lib/libc++.1.dylib",0x7fff5c593f40,0x7fff5c5db2b0,242761728
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff5bfe8f08,0x7fff5bfe990c,242761728
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff5d0bdfd0,0x7fff5d2752e6,242761728
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff5da0e000,0x7fff5da2f65a,242761728
shared-library,"/usr/lib/libz.1.dylib",0x7fff5e4242d0,0x7fff5e42fbe5,242761728
shared-library,"/usr/lib/system/libcache.dylib",0x7fff5e4d1b08,0x7fff5e4d456d,242761728
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff5e4d6c14,0x7fff5e4dfde1,242761728
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff5e4e1ef4,0x7fff5e4e6a8b,242761728
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff5e4ea09c,0x7fff5e4f12dc,242761728
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff5e4f3e80,0x7fff5e558ab9,242761728
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff5e601a58,0x7fff5e62c9ce,242761728
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff5e63b014,0x7fff5e653410,242761728
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff5e658a51,0x7fff5e658e80,242761728
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff5e666fc0,0x7fff5e666fc0,242761728
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff5e6676e8,0x7fff5e66b9dc,242761728
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff5e66d26e,0x7fff5e66eb42,242761728
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff5e66f944,0x7fff5e670c73,242761728
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff5e672748,0x7fff5e687150,242761728
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff5e68985d,0x7fff5e689d0e,242761728
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff5e68b100,0x7fff5e70c18f,242761728
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff5e714e04,0x7fff5e7176c0,242761728
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff5e7192d0,0x7fff5e71b3eb,242761728
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff5e71cfda,0x7fff5e71dc44,242761728
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff5e71ef3c,0x7fff5e7234cd,242761728
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff5e7261f0,0x7fff5e76b41e,242761728
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff5e797140,0x7fff5e7c7143,242761728
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff5e7e3250,0x7fff5e7fc31f,242761728
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff5e803e50,0x7fff5e905068,242761728
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff5e933cff,0x7fff5e93b82e,242761728
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff5e93f148,0x7fff5e94783e,242761728
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff5e95d040,0x7fff5e95f52d,242761728
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff5e960a1f,0x7fff5e961588,242761728
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff5e76ff10,0x7fff5e78d75d,242761728
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff5e948820,0x7fff5e94e38d,242761728
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff5e950f78,0x7fff5e95910e,242761728
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff5e962938,0x7fff5e96831e,242761728
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff5e96b094,0x7fff5e97ac8d,242761728
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff5e97f96c,0x7fff5e9842a7,242761728
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff5e986d08,0x7fff5e9a792a,242761728
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff5be24e80,0x7fff5be4f689,242761728
shared-library,"/usr/lib/libc++abi.dylib",0x7fff5c5eb600,0x7fff5c609d64,242761728
profiler,"begin",1000
tick,0x7fff5e782246,494,0,0x0,4
tick,0x7fff5e94d05c,1720,0,0x0,4
tick,0x1007e04e9,3048,0,0x0,4
code-creation,Stub,3,3174,0x1bb073f84060,234,"JSEntryStub"
code-creation,Builtin,5,3181,0x1bb073f841c0,128,"JSEntryTrampoline"
code-creation,Stub,3,3184,0x1bb073f842a0,286,"CEntryStub"
code-creation,Builtin,5,3185,0x1bb073f84420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,3186,0x1bb073f84500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3187,0x1bb073f846a0,351,"ToObject"
code-creation,Stub,3,3190,0x1bb073f84860,2084,"RecordWriteStub"
code-creation,Stub,3,3191,0x1bb073f85100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,3191,0x1bb073f852a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,3192,0x1bb073f85400,139,"CallBoundFunction"
code-creation,Builtin,5,3193,0x1bb073f85500,548,"CallProxy"
code-creation,Stub,3,3193,0x1bb073f857a0,1693,"GetPropertyStub"
code-creation,Builtin,5,3194,0x1bb073f85ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3195,0x1bb073f86020,234,"JSEntryStub"
code-creation,Builtin,5,3195,0x1bb073f86180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,3196,0x1bb073f86260,77,"Construct"
code-creation,Builtin,5,3196,0x1bb073f86320,18,"ConstructFunction"
code-creation,Builtin,5,3197,0x1bb073f863a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,3198,0x1bb073f864a0,624,"ConstructProxy"
code-creation,Builtin,5,3198,0x1bb073f86780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,3201,0x1bb073f86820,15,"EmptyFunction"
code-creation,Builtin,5,3204,0x1bb073f868a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,3205,0x1bb073f86920,286,"CEntryStub"
code-creation,Builtin,5,3205,0x1bb073f86aa0,615,"CompileLazy"
code-creation,Stub,3,3206,0x1bb073f86d80,440,"RecordWriteStub"
code-creation,Stub,3,3206,0x1bb073f86fa0,1192,"RecordWriteStub"
code-creation,Stub,3,3207,0x1bb073f874c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,3208,0x1bb073f87580,1220,"RecordWriteStub"
code-creation,Builtin,5,3208,0x1bb073f87ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3209,0x1bb073f87c40,925,"FastNewObject"
code-creation,Stub,3,3210,0x1bb073f88040,2141,"RecordWriteStub"
code-creation,Handler,4,3210,0x1bb073f88900,164,"An IC handler from the snapshot"
code-creation,Stub,3,3211,0x1bb073f88a20,87,"DoubleToIStub"
code-creation,Stub,3,3212,0x1bb073f88ae0,93,"DoubleToIStub"
code-creation,Stub,3,3212,0x1bb073f88ba0,469,"CEntryStub"
code-creation,Stub,3,3213,0x1bb073f88de0,2088,"RecordWriteStub"
code-creation,Stub,3,3213,0x1bb073f89680,2072,"RecordWriteStub"
code-creation,Stub,3,3214,0x1bb073f89f00,2084,"RecordWriteStub"
code-creation,Stub,3,3215,0x1bb073f8a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,3215,0x1bb073f8b060,2099,"RecordWriteStub"
code-creation,Stub,3,3216,0x1bb073f8b900,2088,"RecordWriteStub"
code-creation,Stub,3,3216,0x1bb073f8c1a0,1688,"StringAddStub"
code-creation,Stub,3,3217,0x1bb073f8c8a0,890,"RecordWriteStub"
code-creation,Stub,3,3218,0x1bb073f8cc80,2134,"RecordWriteStub"
code-creation,Stub,3,3218,0x1bb073f8d540,2103,"RecordWriteStub"
code-creation,Stub,3,3219,0x1bb073f8dde0,882,"RecordWriteStub"
code-creation,Stub,3,3219,0x1bb073f8e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,3220,0x1bb073f8ea60,2088,"RecordWriteStub"
code-creation,Stub,3,3221,0x1bb073f8f300,2126,"RecordWriteStub"
code-creation,Stub,3,3221,0x1bb073f8fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,3222,0x1bb073f90120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3223,0x1bb073f90260,2100,"RecordWriteStub"
code-creation,Stub,3,3223,0x1bb073f90b00,2075,"RecordWriteStub"
code-creation,Stub,3,3224,0x1bb073f91380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3224,0x1bb073f91560,2075,"RecordWriteStub"
code-creation,Stub,3,3225,0x1bb073f91de0,2100,"RecordWriteStub"
code-creation,Stub,3,3226,0x1bb073f92680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3226,0x1bb073f92860,180,"An IC handler from the snapshot"
code-creation,Stub,3,3227,0x1bb073f92980,2072,"RecordWriteStub"
code-creation,Handler,4,3228,0x1bb073f93200,180,"An IC handler from the snapshot"
code-creation,Stub,3,3228,0x1bb073f93320,876,"RecordWriteStub"
