v8-version,6,2,414,54,0
shared-library,"/usr/local/bin/node",0x100001800,0x100ba3aaa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff3629d860,0x7fff364909ac,242761728
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff5c35f94a,0x7fff5c35fb2e,242761728
shared-library,"/usr/lib/libc++.1.dylib",0x7fff5c593f40,0x7fff5c5db2b0,242761728
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff5bfe8f08,0x7fff5bfe990c,242761728
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff5d0bdfd0,0x7fff5d2752e6,242761728
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff5da0e000,0x7fff5da2f65a,242761728
shared-library,"/usr/lib/libz.1.dylib",0x7fff5e4242d0,0x7fff5e42fbe5,242761728
shared-library,"/usr/lib/system/libcache.dylib",0x7fff5e4d1b08,0x7fff5e4d456d,242761728
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff5e4d6c14,0x7fff5e4dfde1,242761728
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff5e4e1ef4,0x7fff5e4e6a8b,242761728
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff5e4ea09c,0x7fff5e4f12dc,242761728
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff5e4f3e80,0x7fff5e558ab9,242761728
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff5e601a58,0x7fff5e62c9ce,242761728
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff5e63b014,0x7fff5e653410,242761728
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff5e658a51,0x7fff5e658e80,242761728
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff5e666fc0,0x7fff5e666fc0,242761728
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff5e6676e8,0x7fff5e66b9dc,242761728
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff5e66d26e,0x7fff5e66eb42,242761728
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff5e66f944,0x7fff5e670c73,242761728
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff5e672748,0x7fff5e687150,242761728
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff5e68985d,0x7fff5e689d0e,242761728
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff5e68b100,0x7fff5e70c18f,242761728
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff5e714e04,0x7fff5e7176c0,242761728
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff5e7192d0,0x7fff5e71b3eb,242761728
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff5e71cfda,0x7fff5e71dc44,242761728
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff5e71ef3c,0x7fff5e7234cd,242761728
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff5e7261f0,0x7fff5e76b41e,242761728
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff5e797140,0x7fff5e7c7143,242761728
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff5e7e3250,0x7fff5e7fc31f,242761728
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff5e803e50,0x7fff5e905068,242761728
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff5e933cff,0x7fff5e93b82e,242761728
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff5e93f148,0x7fff5e94783e,242761728
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff5e95d040,0x7fff5e95f52d,242761728
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff5e960a1f,0x7fff5e961588,242761728
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff5e76ff10,0x7fff5e78d75d,242761728
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff5e948820,0x7fff5e94e38d,242761728
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff5e950f78,0x7fff5e95910e,242761728
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff5e962938,0x7fff5e96831e,242761728
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff5e96b094,0x7fff5e97ac8d,242761728
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff5e97f96c,0x7fff5e9842a7,242761728
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff5e986d08,0x7fff5e9a792a,242761728
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff5be24e80,0x7fff5be4f689,242761728
shared-library,"/usr/lib/libc++abi.dylib",0x7fff5c5eb600,0x7fff5c609d64,242761728
tick,0x11114caa8,600,0,0x0,4
profiler,"begin",1000
tick,0x7fff5e94cfc9,1918,0,0x0,4
tick,0x7fff5e94d060,3168,0,0x0,4
code-creation,Stub,3,3622,0x341341304060,234,"JSEntryStub"
code-creation,Builtin,5,3629,0x3413413041c0,128,"JSEntryTrampoline"
code-creation,Stub,3,3632,0x3413413042a0,286,"CEntryStub"
code-creation,Builtin,5,3633,0x341341304420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,3634,0x341341304500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3635,0x3413413046a0,351,"ToObject"
code-creation,Stub,3,3638,0x341341304860,2084,"RecordWriteStub"
code-creation,Stub,3,3639,0x341341305100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,3640,0x3413413052a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,3641,0x341341305400,139,"CallBoundFunction"
code-creation,Builtin,5,3641,0x341341305500,548,"CallProxy"
code-creation,Stub,3,3642,0x3413413057a0,1693,"GetPropertyStub"
code-creation,Builtin,5,3642,0x341341305ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3643,0x341341306020,234,"JSEntryStub"
code-creation,Builtin,5,3644,0x341341306180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,3645,0x341341306260,77,"Construct"
code-creation,Builtin,5,3645,0x341341306320,18,"ConstructFunction"
code-creation,Builtin,5,3646,0x3413413063a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,3647,0x3413413064a0,624,"ConstructProxy"
code-creation,Builtin,5,3647,0x341341306780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,3650,0x341341306820,15,"EmptyFunction"
code-creation,Builtin,5,3653,0x3413413068a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,3653,0x341341306920,286,"CEntryStub"
code-creation,Builtin,5,3654,0x341341306aa0,615,"CompileLazy"
code-creation,Stub,3,3655,0x341341306d80,440,"RecordWriteStub"
code-creation,Stub,3,3655,0x341341306fa0,1192,"RecordWriteStub"
code-creation,Stub,3,3656,0x3413413074c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,3657,0x341341307580,1220,"RecordWriteStub"
code-creation,Builtin,5,3658,0x341341307ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3658,0x341341307c40,925,"FastNewObject"
code-creation,Stub,3,3659,0x341341308040,2141,"RecordWriteStub"
code-creation,Handler,4,3660,0x341341308900,164,"An IC handler from the snapshot"
code-creation,Stub,3,3660,0x341341308a20,87,"DoubleToIStub"
code-creation,Stub,3,3661,0x341341308ae0,93,"DoubleToIStub"
code-creation,Stub,3,3662,0x341341308ba0,469,"CEntryStub"
code-creation,Stub,3,3662,0x341341308de0,2088,"RecordWriteStub"
code-creation,Stub,3,3663,0x341341309680,2072,"RecordWriteStub"
code-creation,Stub,3,3663,0x341341309f00,2084,"RecordWriteStub"
code-creation,Stub,3,3664,0x34134130a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,3665,0x34134130b060,2099,"RecordWriteStub"
code-creation,Stub,3,3665,0x34134130b900,2088,"RecordWriteStub"
code-creation,Stub,3,3666,0x34134130c1a0,1688,"StringAddStub"
code-creation,Stub,3,3666,0x34134130c8a0,890,"RecordWriteStub"
code-creation,Stub,3,3667,0x34134130cc80,2134,"RecordWriteStub"
code-creation,Stub,3,3668,0x34134130d540,2103,"RecordWriteStub"
code-creation,Stub,3,3668,0x34134130dde0,882,"RecordWriteStub"
code-creation,Stub,3,3669,0x34134130e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,3670,0x34134130ea60,2088,"RecordWriteStub"
code-creation,Stub,3,3670,0x34134130f300,2126,"RecordWriteStub"
code-creation,Stub,3,3671,0x34134130fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,3672,0x341341310120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3672,0x341341310260,2100,"RecordWriteStub"
code-creation,Stub,3,3673,0x341341310b00,2075,"RecordWriteStub"
code-creation,Stub,3,3673,0x341341311380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3674,0x341341311560,2075,"RecordWriteStub"
code-creation,Stub,3,3675,0x341341311de0,2100,"RecordWriteStub"
code-creation,Stub,3,3675,0x341341312680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3676,0x341341312860,180,"An IC handler from the snapshot"
code-creation,Stub,3,3677,0x341341312980,2072,"RecordWriteStub"
code-creation,Handler,4,3677,0x341341313200,180,"An IC handler from the snapshot"
code-creation,Stub,3,3678,0x341341313320,876,"RecordWriteStub"
code-creation,Stub,3,3679,0x341341313700,2122,"RecordWriteStub"
code-creation,Stub,3,3679,0x341341313fc0,884,"RecordWriteStub"
code-creation,Stub,3,3680,0x3413413143a0,87,"DoubleToIStub"
code-creation,Stub,3,3680,0x341341314460,2097,"RecordWriteStub"
code-creation,Stub,3,3681,0x341341314d00,2088,"RecordWriteStub"
code-creation,Stub,3,3682,0x3413413155a0,2103,"RecordWriteStub"
code-creation,Stub,3,3685,0x341341315e40,2088,"RecordWriteStub"
code-creation,Stub,3,3685,0x3413413166e0,884,"RecordWriteStub"
code-creation,Stub,3,3686,0x341341316ac0,884,"RecordWriteStub"
code-creation,Stub,3,3687,0x341341316ea0,2109,"RecordWriteStub"
code-creation,Stub,3,3687,0x341341317740,882,"RecordWriteStub"
code-creation,Stub,3,3688,0x341341317b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3689,0x341341317c60,235,"NumberToStringStub"
code-creation,Stub,3,3689,0x341341317dc0,2125,"RecordWriteStub"
code-creation,Stub,3,3690,0x341341318680,2142,"RecordWriteStub"
code-creation,Stub,3,3691,0x341341318f40,884,"RecordWriteStub"
code-creation,Stub,3,3691,0x341341319320,2104,"RecordWriteStub"
code-creation,Stub,3,3692,0x341341319bc0,2088,"RecordWriteStub"
code-creation,Stub,3,3692,0x34134131a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3693,0x34134131a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,3694,0x34134131ae60,87,"DoubleToIStub"
code-creation,Stub,3,3694,0x34134131af20,2076,"RecordWriteStub"
code-creation,Stub,3,3695,0x34134131b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,3696,0x34134131c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3696,0x34134131c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,3697,0x34134131c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3698,0x34134131c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3698,0x34134131c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3699,0x34134131c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,3699,0x34134131ce80,2126,"RecordWriteStub"
code-creation,Stub,3,3700,0x34134131d740,2076,"RecordWriteStub"
code-creation,Stub,3,3701,0x34134131dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,3701,0x34134131e860,2099,"RecordWriteStub"
code-creation,Stub,3,3702,0x34134131f100,2084,"RecordWriteStub"
code-creation,Stub,3,3703,0x34134131f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,3703,0x341341320280,2087,"RecordWriteStub"
code-creation,Stub,3,3704,0x341341320b20,2072,"RecordWriteStub"
code-creation,Stub,3,3704,0x3413413213a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3705,0x341341321580,612,"An IC handler from the snapshot"
code-creation,Stub,3,3706,0x341341321860,2126,"RecordWriteStub"
code-creation,Handler,4,3706,0x341341322120,180,"An IC handler from the snapshot"
code-creation,Stub,3,3707,0x341341322240,2088,"RecordWriteStub"
code-creation,Handler,4,3708,0x341341322ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,3708,0x341341322c00,3146,"SubStringStub"
code-creation,Stub,3,3709,0x3413413238c0,269,"CEntryStub"
code-creation,Stub,3,3710,0x341341323a40,2106,"RecordWriteStub"
code-creation,Stub,3,3710,0x3413413242e0,2103,"RecordWriteStub"
code-creation,Stub,3,3711,0x341341324b80,2110,"RecordWriteStub"
code-creation,Stub,3,3711,0x341341325420,882,"RecordWriteStub"
code-creation,Stub,3,3712,0x341341325800,2084,"RecordWriteStub"
code-creation,Stub,3,3713,0x3413413260a0,2072,"RecordWriteStub"
code-creation,Stub,3,3713,0x341341326920,2106,"RecordWriteStub"
code-creation,Stub,3,3714,0x3413413271c0,2126,"RecordWriteStub"
code-creation,Stub,3,3715,0x341341327a80,2113,"RecordWriteStub"
code-creation,Stub,3,3715,0x341341328340,463,"StringAddStub"
code-creation,Builtin,5,3716,0x341341328580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,3717,0x3413413286a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,3717,0x341341328780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,3718,0x341341328900,2117,"RecordWriteStub"
code-creation,Stub,3,3719,0x3413413291c0,2142,"RecordWriteStub"
code-creation,Stub,3,3719,0x341341329a80,2100,"RecordWriteStub"
code-creation,Stub,3,3720,0x34134132a320,2117,"RecordWriteStub"
code-creation,Stub,3,3721,0x34134132abe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3721,0x34134132ad40,2130,"RecordWriteStub"
code-creation,Stub,3,3722,0x34134132b600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3723,0x34134132b7e0,2076,"RecordWriteStub"
code-creation,Stub,3,3737,0x34134132c060,2142,"RecordWriteStub"
code-creation,Stub,3,3737,0x34134132c920,491,"StringAddStub"
code-creation,Stub,3,3738,0x34134132cb80,2088,"RecordWriteStub"
code-creation,Stub,3,3739,0x34134132d420,2125,"RecordWriteStub"
code-creation,Stub,3,3739,0x34134132dce0,2084,"RecordWriteStub"
code-creation,Stub,3,3740,0x34134132e580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,3741,0x34134132e6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,3741,0x34134132e9a0,2126,"RecordWriteStub"
code-creation,Stub,3,3742,0x34134132f260,2109,"RecordWriteStub"
code-creation,Stub,3,3742,0x34134132fb00,2072,"RecordWriteStub"
code-creation,Stub,3,3743,0x341341330380,2130,"RecordWriteStub"
code-creation,Stub,3,3744,0x341341330c40,2125,"RecordWriteStub"
code-creation,Handler,4,3744,0x341341331500,552,"An IC handler from the snapshot"
code-creation,Stub,3,3745,0x3413413317a0,2088,"RecordWriteStub"
