v8-version,6,2,414,54,0
shared-library,"/usr/local/bin/node",0x100001800,0x100ba3aaa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff3629d860,0x7fff364909ac,242761728
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff5c35f94a,0x7fff5c35fb2e,242761728
shared-library,"/usr/lib/libc++.1.dylib",0x7fff5c593f40,0x7fff5c5db2b0,242761728
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff5bfe8f08,0x7fff5bfe990c,242761728
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff5d0bdfd0,0x7fff5d2752e6,242761728
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff5da0e000,0x7fff5da2f65a,242761728
shared-library,"/usr/lib/libz.1.dylib",0x7fff5e4242d0,0x7fff5e42fbe5,242761728
shared-library,"/usr/lib/system/libcache.dylib",0x7fff5e4d1b08,0x7fff5e4d456d,242761728
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff5e4d6c14,0x7fff5e4dfde1,242761728
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff5e4e1ef4,0x7fff5e4e6a8b,242761728
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff5e4ea09c,0x7fff5e4f12dc,242761728
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff5e4f3e80,0x7fff5e558ab9,242761728
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff5e601a58,0x7fff5e62c9ce,242761728
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff5e63b014,0x7fff5e653410,242761728
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff5e658a51,0x7fff5e658e80,242761728
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff5e666fc0,0x7fff5e666fc0,242761728
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff5e6676e8,0x7fff5e66b9dc,242761728
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff5e66d26e,0x7fff5e66eb42,242761728
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff5e66f944,0x7fff5e670c73,242761728
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff5e672748,0x7fff5e687150,242761728
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff5e68985d,0x7fff5e689d0e,242761728
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff5e68b100,0x7fff5e70c18f,242761728
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff5e714e04,0x7fff5e7176c0,242761728
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff5e7192d0,0x7fff5e71b3eb,242761728
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff5e71cfda,0x7fff5e71dc44,242761728
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff5e71ef3c,0x7fff5e7234cd,242761728
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff5e7261f0,0x7fff5e76b41e,242761728
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff5e797140,0x7fff5e7c7143,242761728
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff5e7e3250,0x7fff5e7fc31f,242761728
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff5e803e50,0x7fff5e905068,242761728
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff5e933cff,0x7fff5e93b82e,242761728
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff5e93f148,0x7fff5e94783e,242761728
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff5e95d040,0x7fff5e95f52d,242761728
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff5e960a1f,0x7fff5e961588,242761728
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff5e76ff10,0x7fff5e78d75d,242761728
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff5e948820,0x7fff5e94e38d,242761728
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff5e950f78,0x7fff5e95910e,242761728
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff5e962938,0x7fff5e96831e,242761728
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff5e96b094,0x7fff5e97ac8d,242761728
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff5e97f96c,0x7fff5e9842a7,242761728
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff5e986d08,0x7fff5e9a792a,242761728
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff5be24e80,0x7fff5be4f689,242761728
shared-library,"/usr/lib/libc++abi.dylib",0x7fff5c5eb600,0x7fff5c609d64,242761728
tick,0x7fff5e782246,428,0,0x0,4
profiler,"begin",1000
tick,0x7fff5e78b6d2,1754,0,0x0,1
tick,0x7fff5e94cf93,3008,0,0x0,4
tick,0x1004f4aef,4295,0,0x0,4
code-creation,Stub,3,4358,0xe240ac04060,234,"JSEntryStub"
code-creation,Builtin,5,4366,0xe240ac041c0,128,"JSEntryTrampoline"
code-creation,Stub,3,4370,0xe240ac042a0,286,"CEntryStub"
code-creation,Builtin,5,4371,0xe240ac04420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,4372,0xe240ac04500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4373,0xe240ac046a0,351,"ToObject"
code-creation,Stub,3,4374,0xe240ac04860,2084,"RecordWriteStub"
code-creation,Stub,3,4375,0xe240ac05100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,4376,0xe240ac052a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,4376,0xe240ac05400,139,"CallBoundFunction"
code-creation,Builtin,5,4377,0xe240ac05500,548,"CallProxy"
code-creation,Stub,3,4378,0xe240ac057a0,1693,"GetPropertyStub"
code-creation,Builtin,5,4379,0xe240ac05ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4380,0xe240ac06020,234,"JSEntryStub"
code-creation,Builtin,5,4381,0xe240ac06180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,4381,0xe240ac06260,77,"Construct"
code-creation,Builtin,5,4382,0xe240ac06320,18,"ConstructFunction"
code-creation,Builtin,5,4383,0xe240ac063a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,4384,0xe240ac064a0,624,"ConstructProxy"
code-creation,Builtin,5,4385,0xe240ac06780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,4388,0xe240ac06820,15,"EmptyFunction"
code-creation,Builtin,5,4392,0xe240ac068a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,4393,0xe240ac06920,286,"CEntryStub"
code-creation,Builtin,5,4393,0xe240ac06aa0,615,"CompileLazy"
code-creation,Stub,3,4394,0xe240ac06d80,440,"RecordWriteStub"
code-creation,Stub,3,4395,0xe240ac06fa0,1192,"RecordWriteStub"
code-creation,Stub,3,4396,0xe240ac074c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,4397,0xe240ac07580,1220,"RecordWriteStub"
code-creation,Builtin,5,4397,0xe240ac07ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,4398,0xe240ac07c40,925,"FastNewObject"
code-creation,Stub,3,4399,0xe240ac08040,2141,"RecordWriteStub"
code-creation,Handler,4,4400,0xe240ac08900,164,"An IC handler from the snapshot"
code-creation,Stub,3,4401,0xe240ac08a20,87,"DoubleToIStub"
code-creation,Stub,3,4402,0xe240ac08ae0,93,"DoubleToIStub"
code-creation,Stub,3,4402,0xe240ac08ba0,469,"CEntryStub"
code-creation,Stub,3,4403,0xe240ac08de0,2088,"RecordWriteStub"
code-creation,Stub,3,4404,0xe240ac09680,2072,"RecordWriteStub"
code-creation,Stub,3,4405,0xe240ac09f00,2084,"RecordWriteStub"
code-creation,Stub,3,4406,0xe240ac0a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,4406,0xe240ac0b060,2099,"RecordWriteStub"
code-creation,Stub,3,4407,0xe240ac0b900,2088,"RecordWriteStub"
code-creation,Stub,3,4408,0xe240ac0c1a0,1688,"StringAddStub"
code-creation,Stub,3,4409,0xe240ac0c8a0,890,"RecordWriteStub"
code-creation,Stub,3,4409,0xe240ac0cc80,2134,"RecordWriteStub"
code-creation,Stub,3,4410,0xe240ac0d540,2103,"RecordWriteStub"
code-creation,Stub,3,4411,0xe240ac0dde0,882,"RecordWriteStub"
code-creation,Stub,3,4412,0xe240ac0e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,4413,0xe240ac0ea60,2088,"RecordWriteStub"
code-creation,Stub,3,4413,0xe240ac0f300,2126,"RecordWriteStub"
code-creation,Stub,3,4414,0xe240ac0fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,4415,0xe240ac10120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4416,0xe240ac10260,2100,"RecordWriteStub"
code-creation,Stub,3,4417,0xe240ac10b00,2075,"RecordWriteStub"
code-creation,Stub,3,4417,0xe240ac11380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4418,0xe240ac11560,2075,"RecordWriteStub"
code-creation,Stub,3,4419,0xe240ac11de0,2100,"RecordWriteStub"
code-creation,Stub,3,4420,0xe240ac12680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,4421,0xe240ac12860,180,"An IC handler from the snapshot"
code-creation,Stub,3,4421,0xe240ac12980,2072,"RecordWriteStub"
code-creation,Handler,4,4422,0xe240ac13200,180,"An IC handler from the snapshot"
code-creation,Stub,3,4426,0xe240ac13320,876,"RecordWriteStub"
code-creation,Stub,3,4427,0xe240ac13700,2122,"RecordWriteStub"
code-creation,Stub,3,4428,0xe240ac13fc0,884,"RecordWriteStub"
code-creation,Stub,3,4428,0xe240ac143a0,87,"DoubleToIStub"
